,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Mahajanga,MG,-15.72,46.32,77.0,83,20,3.36,few clouds
279,Mont-De-Marsan,FR,44.0,-0.67,42.01,93,0,4.34,mist
280,Severnyy,RU,50.68,36.55,32.0,99,90,2.24,fog
281,Esperance,AU,-33.87,121.9,57.2,76,20,8.05,few clouds
282,Vao,NC,-22.67,167.48,75.11,83,100,10.85,overcast clouds
283,Bajina Basta,RS,43.97,19.57,30.2,92,0,2.24,clear sky
284,Merauke,ID,-8.47,140.33,80.6,84,100,10.18,moderate rain
285,Shanghai,CN,31.22,121.46,55.4,93,90,8.95,overcast clouds
286,Marica,BR,-22.92,-42.82,78.8,78,20,6.93,few clouds
287,Mountain Home,US,43.13,-115.69,39.2,80,75,14.99,broken clouds
288,Liberal,US,37.04,-100.92,55.4,26,1,16.11,clear sky
289,Ponta Do Sol,PT,32.67,-17.1,55.4,66,40,10.29,light intensity shower rain
290,Mareeba,AU,-17.0,145.43,82.99,65,4,8.05,light rain
291,Mina,MX,26.0,-100.53,84.2,18,75,12.75,broken clouds
292,Souillac,MU,-20.52,57.52,75.2,94,75,14.99,shower rain
293,Beaupre,CA,47.04,-70.9,26.6,86,100,2.59,overcast clouds
294,Okhotsk,RU,59.38,143.3,-4.49,85,2,24.16,clear sky
295,Novopokrovka,UA,49.84,36.55,35.6,93,90,4.47,overcast clouds
296,Tabuk,PH,17.42,121.44,70.75,85,45,3.78,scattered clouds
297,Conde,BR,-7.26,-34.91,77.0,83,20,5.82,few clouds
298,Bengkulu,ID,-3.8,102.27,75.51,84,80,4.38,moderate rain
299,Ponnani,IN,10.77,75.93,78.8,74,75,2.57,mist
300,Hofn,IS,64.25,-15.21,41.32,75,100,18.63,overcast clouds
301,Slyudyanka,RU,51.66,103.71,11.28,88,94,3.04,overcast clouds
302,Pitimbu,BR,-7.47,-34.81,77.0,83,20,5.82,few clouds
303,Tabou,CI,4.42,-7.35,77.36,88,8,8.55,light rain
304,Thinadhoo,MV,0.53,72.93,81.93,76,41,15.84,scattered clouds
305,Port Keats,AU,-14.25,129.55,89.04,70,7,7.67,clear sky
306,Flinders,AU,-34.58,150.86,73.99,70,0,2.48,clear sky
307,Verkhnetulomskiy,RU,68.61,31.8,17.6,92,0,6.71,clear sky
308,Gorele,TR,41.03,39.0,50.0,66,75,8.05,broken clouds
309,Mwinilunga,ZM,-11.74,24.43,62.55,92,88,2.15,overcast clouds
310,Abu Samrah,SY,35.3,37.18,54.45,74,100,11.12,light rain
311,Kaili,ID,-3.46,120.21,72.32,82,100,1.25,moderate rain
312,Port Alfred,ZA,-33.59,26.89,63.03,66,92,4.09,overcast clouds
313,Burns Lake,CA,54.23,-125.75,26.6,92,78,3.36,broken clouds
314,Coos Bay,US,43.37,-124.22,53.01,76,40,10.29,scattered clouds
315,Carutapera,BR,-1.2,-46.02,79.41,81,54,9.35,broken clouds
316,Mnogovershinnyy,RU,53.94,139.92,5.5,94,94,12.86,overcast clouds
317,Wonthaggi,AU,-38.6,145.59,69.01,80,26,5.99,scattered clouds
318,Sao Filipe,CV,14.9,-24.5,78.6,72,97,11.27,overcast clouds
319,Lanquin,GT,15.57,-89.97,71.6,68,40,4.7,scattered clouds
320,Kavaratti,IN,10.57,72.64,81.43,75,84,11.48,broken clouds
321,Spirit River,CA,55.78,-118.84,21.2,100,31,1.12,scattered clouds
322,Salinopolis,BR,-0.61,-47.36,80.91,82,94,13.53,overcast clouds
323,Hualmay,PE,-11.1,-77.61,65.44,75,71,8.08,broken clouds
324,Oranjemund,NA,-28.55,16.43,59.52,77,0,19.13,clear sky
325,Sandwick,GB,60.0,-1.25,39.2,86,80,9.17,broken clouds
326,Pangnirtung,CA,66.15,-65.71,17.6,67,75,17.22,broken clouds
327,Pevek,RU,69.7,170.31,28.54,96,100,16.6,overcast clouds
328,Pacific Grove,US,36.62,-121.92,57.99,67,1,10.29,clear sky
329,Kasempa,ZM,-13.46,25.83,63.54,96,100,1.59,moderate rain
330,Krasnyy Chikoy,RU,50.36,108.75,2.88,89,47,1.57,scattered clouds
331,Utrecht,NL,52.0,5.25,46.0,94,77,9.48,broken clouds
332,Papara,BR,-3.98,-38.73,81.0,78,20,8.05,few clouds
333,Airai,TL,-8.93,125.41,68.0,91,66,0.76,broken clouds
334,Mahebourg,MU,-20.41,57.7,75.2,94,75,14.99,shower rain
335,Tullahoma,US,35.36,-86.21,62.6,82,40,11.41,scattered clouds
336,Norman Wells,CA,65.28,-126.83,-0.4,84,40,5.82,scattered clouds
337,Monroe,US,43.15,-77.68,48.0,70,90,5.82,light rain
338,Ayagoz,KZ,47.97,80.44,6.53,88,5,5.95,clear sky
339,Vila Franca Do Campo,PT,37.72,-25.43,57.2,67,75,11.41,light intensity shower rain
340,Nome,US,64.5,-165.41,32.0,98,90,10.29,light snow
341,Rosita,NI,13.93,-84.4,73.18,97,100,3.38,light rain
342,Koslan,RU,63.46,48.9,23.13,98,85,4.14,overcast clouds
343,Chara,RU,56.91,118.26,-7.51,76,0,2.15,clear sky
344,Keti Bandar,PK,24.14,67.45,66.6,49,0,18.75,clear sky
345,Nyurba,RU,63.28,118.33,-7.73,90,79,5.68,broken clouds
346,Otane,NZ,-39.88,176.63,73.0,68,10,4.0,clear sky
347,Tekeli,KZ,44.83,78.82,21.56,76,99,4.74,overcast clouds
348,Akureyri,IS,65.68,-18.09,33.8,86,90,12.75,light rain
349,Denpasar,ID,-8.65,115.22,78.8,83,20,3.36,few clouds
350,Galatas,GR,37.5,23.45,55.4,58,40,6.93,scattered clouds
351,Bodden Town,KY,19.28,-81.25,84.2,66,20,13.87,moderate rain
352,Chifeng,CN,42.27,118.96,11.07,89,80,2.42,broken clouds
353,Aranos,NA,-24.13,19.12,71.24,24,68,11.03,broken clouds
354,Rognan,NO,67.1,15.39,33.01,93,100,2.19,overcast clouds
355,La Ronge,CA,55.1,-105.28,26.6,92,99,6.93,overcast clouds
356,Henties Bay,NA,-22.12,14.28,59.0,86,21,3.0,few clouds
357,Broken Hill,AU,-31.95,141.43,86.0,23,0,8.05,clear sky
358,Goksun,TR,38.02,36.5,48.2,81,75,5.82,broken clouds
359,Mukhen,RU,48.1,136.1,14.41,84,22,11.01,few clouds
360,Greenwood,US,34.17,-82.12,66.2,68,75,5.48,broken clouds
